"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"21"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"SAMEA2630414"	"40"	""	""	"Phytophthora infestans"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_4787"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"22"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"SAMEA2630403"	"D"	""	""	"Phytophthora infestans"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_4787"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"23"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"SAMEA2630382"	"erp1"	""	""	"Phytophthora infestans"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_4787"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"24"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"SAMEA2630424"	"erp2"	""	""	"Phytophthora infestans"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_4787"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
"25"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"SAMEA2630413"	"gl1"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"26"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"SAMEA2630386"	"pen2"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"27"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"SAMEA2630402"	"40"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"28"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"SAMEA2630381"	"D"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"29"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"SAMEA2630377"	"erp1"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"2"	""	""
"3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"SAMEA2630384"	"40"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"1"	""	""
